"filename", "language", "JSON", "JavaScript JSX", "Markdown", "HTML", "XML", "JavaScript", "JSON with Comments", "comment", "blank", "total"
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\round-security.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\security-camera.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\security-group.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\solar-checklist-bold.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\solar-checklist.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\solar-database-bold.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\solar-document-bold.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\solar-document.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\solar-notebook.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\solar-telescope.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\solar-usb.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\solar-user-check.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\video-security-20-filled.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\video-security-20-regular.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\navbar\world-search.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\shape-avatar.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\illustrations\illustration_404.svg", "XML", 0, 0, 0, 0, 40, 0, 0, 0, 1, 41
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\logomonevti1.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\logomonevti2.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\monevti-logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\monevti-logo2.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
